time_utc,mode,event,signal_side,position_side,position_size,position_entry_px,target_bid,target_ask,target_mid,target_bid_sz,target_ask_sz,target_book_time_ms,target_recv_time_ms,target_oracle,target_mark,reference_bid,reference_ask,reference_mid,reference_bid_sz,reference_ask_sz,reference_book_time_ms,reference_recv_time_ms,reference_oracle,reference_mark,gross_edge_bps,oracle_gap_bps,target_spread_bps,target_book_age_ms,reference_book_age_ms
2026-08-24T10:41:48.213Z,live,snapshot,,,,,88.5,88.521,88.5105000000,0.66,2.25,1787568103855,1787568104606,89.1255,88.633,88.388,88.452,88.4200000000,0.44,141.31,1787568103855,1787568104895,88.964,88.583,,,,,
2026-08-24T10:41:49.335Z,live,snapshot,,,,,88.5,88.521,88.5105000000,0.66,2.25,1787568103855,1787568104606,89.1243,88.6292,88.388,88.452,88.4200000000,0.44,141.31,1787568103855,1787568104895,88.964,88.583,,,,,
2026-08-24T10:41:50.373Z,live,snapshot,,,,,88.5,88.521,88.5105000000,0.66,4.44,1787568109142,1787568109883,89.1243,88.6292,88.385,88.44,88.4125000000,0.44,0.44,1787568109142,1787568110120,88.963,88.579,,,,,
2026-08-24T10:41:51.637Z,live,snapshot,,,,,88.5,88.521,88.5105000000,0.66,4.44,1787568109142,1787568109883,89.1243,88.6268,88.385,88.44,88.4125000000,0.44,0.44,1787568109142,1787568110120,88.963,88.579,,,,,
2026-08-24T10:41:54.302Z,live,snapshot,,,,,88.5,88.521,88.5105000000,0.66,4.44,1787568109142,1787568109883,89.1243,88.6268,88.385,88.44,88.4125000000,0.44,0.44,1787568109142,1787568110120,88.962,88.575,,,,,
2026-08-24T10:41:55.332Z,live,snapshot,,,,,88.5,88.521,88.5105000000,0.66,4.44,1787568109142,1787568109883,89.1231,88.6241,88.385,88.44,88.4125000000,0.44,0.44,1787568109142,1787568110120,88.962,88.575,,,,,
2026-08-24T10:41:56.382Z,live,snapshot,,,,,88.497,88.516,88.5065000000,6.42,0.67,1787568114572,1787568115332,89.1231,88.6241,88.379,88.43,88.4045000000,49.53,0.43,1787568114572,1787568115631,88.961,88.571,,,,,
2026-08-24T10:41:57.508Z,live,snapshot,,,,,88.497,88.516,88.5065000000,6.42,0.67,1787568114572,1787568115332,89.1231,88.6218,88.379,88.43,88.4045000000,49.53,0.43,1787568114572,1787568115631,88.961,88.571,,,,,
2026-08-24T10:41:58.835Z,live,snapshot,,,,,88.497,88.516,88.5065000000,6.42,0.67,1787568114572,1787568115332,89.1231,88.6218,88.379,88.43,88.4045000000,49.53,0.43,1787568114572,1787568115631,88.961,88.566,,,,,
2026-08-24T10:42:00.409Z,live,snapshot,,,,,88.497,88.516,88.5065000000,6.42,0.67,1787568114572,1787568115332,89.1231,88.6218,88.379,88.43,88.4045000000,49.53,0.43,1787568114572,1787568115631,88.961,88.566,,,,,
2026-08-24T10:42:01.448Z,live,snapshot,,,,,88.497,88.516,88.5065000000,6.42,0.67,1787568114572,1787568115332,89.1218,88.618,88.379,88.43,88.4045000000,49.53,0.43,1787568114572,1787568115631,88.961,88.566,,,,,
2026-08-24T10:42:02.477Z,live,snapshot,,,,,88.497,88.517,88.5070000000,5.15,0.76,1787568119972,1787568121448,89.1218,88.618,88.382,88.431,88.4065000000,0.43,10.92,1787568119972,1787568121710,88.96,88.562,,,,,
2026-08-24T10:42:03.546Z,live,snapshot,,,,,88.497,88.517,88.5070000000,5.15,0.76,1787568119972,1787568121448,89.1218,88.6157,88.382,88.431,88.4065000000,0.43,10.92,1787568119972,1787568121710,88.96,88.562,,,,,
2026-08-24T10:42:04.713Z,live,snapshot,,,,,88.497,88.517,88.5070000000,5.15,0.76,1787568119972,1787568121448,89.1218,88.6157,88.382,88.431,88.4065000000,0.43,10.92,1787568119972,1787568121710,88.959,88.558,,,,,
2026-08-24T10:42:06.386Z,live,snapshot,,,,,88.497,88.517,88.5070000000,5.15,0.76,1787568119972,1787568121448,89.1218,88.6157,88.382,88.431,88.4065000000,0.43,10.92,1787568119972,1787568121710,88.959,88.558,,,,,
